algorithm,median_seconds
jade,0.36910252098459745
uniform,0.5799981254967861
fixed:current-to-pbest/1,0.6160641249734908
ap,0.6784355000127107
pm,0.7168867294676602
success-rate,0.7506147710082587
ucb,0.8725093540269881
thompson,0.9079307290085126
fixed:rand/2,1.0452449585136492
fixed:current-to-best/1,1.0500018544844352
fixed:rand/1,1.1096172710240353
fixed:best/1,1.2251960419816896
