algorithm,trial_success_rate,top_operator,top_operator_share,commitment,share:rand/1,share:best/1,share:rand/2,share:current-to-best/1,share:current-to-pbest/1
uniform,0.3252010050251256,current-to-best/1,0.20010653266331657,8.556334851750336e-08,0.20005443886097152,0.2000278056951424,0.1998003350083752,0.20010653266331657,0.2000108877721943
ucb,0.49355912897822446,best/1,0.4258209380234506,0.0917429039965012,0.12017386934673367,0.4258209380234506,0.1027001675041876,0.1615859296482412,0.18971909547738694
thompson,0.5817755443886097,best/1,0.5729547738693467,0.23155511207984714,0.06801976549413735,0.5729547738693467,0.057854941373534335,0.1446254606365159,0.15654505862646567
pm,0.4332465661641541,best/1,0.28402629815745395,0.033410083826516,0.1397502512562814,0.28402629815745395,0.11240904522613065,0.24101256281407035,0.22280184254606364
ap,0.49742613065326635,best/1,0.41034706867671694,0.09239711163795306,0.10801825795644891,0.41034706867671694,0.08941524288107203,0.1939469011725293,0.19827252931323283
success-rate,0.43797269681742046,best/1,0.26188408710217753,0.03757081532093676,0.14051993299832496,0.26188408710217753,0.10044958123953099,0.26029748743718595,0.23684891122278057
