algorithm,ap,fixed:best/1,fixed:current-to-best/1,fixed:current-to-pbest/1,fixed:rand/1,fixed:rand/2,jade,oracle:best-fixed,pm,success-rate,thompson,ucb,uniform
ap,1.0,0.0005507469177246094,8.344650268554688e-05,0.289911150932312,1.0,4.410743713378906e-05,0.0475916862487793,0.0475916862487793,0.6868565082550049,1.0,0.0012087821960449219,1.0,0.5264491378035174
fixed:best/1,0.0005507469177246094,1.0,0.018054485321044922,0.0008130073547363281,0.03215813636779785,1.0,0.0032587051391601562,0.0015399090637650138,0.0005507469177246094,0.0014312267303466797,0.0019762516021728516,0.0019762516021728516,0.0005507469177246094
fixed:current-to-best/1,8.344650268554688e-05,0.018054485321044922,1.0,0.018054485321044922,0.42254209518432617,1.0,0.002299785614013672,0.006196192782193165,0.0016889572143554688,0.0006608963012695312,0.2059330940246582,0.0003434419631958008,0.003814697265625
fixed:current-to-pbest/1,0.289911150932312,0.0008130073547363281,0.018054485321044922,1.0,9.298324584960938e-06,6.008148193359375e-05,1.0,0.5264491378035174,0.5863876342773438,0.2059330940246582,0.14925241470336914,0.3445397615432739,0.5351876020431519
fixed:rand/1,1.0,0.03215813636779785,0.42254209518432617,9.298324584960938e-06,1.0,0.00020265579223632812,0.0012087821960449219,9.298324584960938e-06,0.07549166679382324,0.33098840713500977,1.0,1.0,0.01418304443359375
fixed:rand/2,4.410743713378906e-05,1.0,1.0,6.008148193359375e-05,0.00020265579223632812,1.0,9.298324584960938e-06,9.298324584960938e-06,8.344650268554688e-05,0.0008130073547363281,0.05516624450683594,4.410743713378906e-05,6.008148193359375e-05
jade,0.0475916862487793,0.0032587051391601562,0.002299785614013672,1.0,0.0012087821960449219,9.298324584960938e-06,1.0,1.0,0.17593467235565186,0.6373375654220581,0.009232163429260254,0.016029000282287598,1.0
oracle:best-fixed,0.0475916862487793,0.0015399090637650138,0.006196192782193165,0.5264491378035174,9.298324584960938e-06,9.298324584960938e-06,1.0,1.0,0.20915508270263672,0.1016240119934082,0.0080718994140625,0.03465414047241211,0.050548553466796875
pm,0.6868565082550049,0.0005507469177246094,0.0016889572143554688,0.5863876342773438,0.07549166679382324,8.344650268554688e-05,0.17593467235565186,0.20915508270263672,1.0,1.0,0.003814697265625,0.02270221710205078,1.0
success-rate,1.0,0.0014312267303466797,0.0006608963012695312,0.2059330940246582,0.33098840713500977,0.0008130073547363281,0.6373375654220581,0.1016240119934082,1.0,1.0,0.0051670074462890625,0.043329596519470215,1.0
thompson,0.0012087821960449219,0.0019762516021728516,0.2059330940246582,0.14925241470336914,1.0,0.05516624450683594,0.009232163429260254,0.0080718994140625,0.003814697265625,0.0051670074462890625,1.0,0.0016889572143554688,0.03215813636779785
ucb,1.0,0.0019762516021728516,0.0003434419631958008,0.3445397615432739,1.0,4.410743713378906e-05,0.016029000282287598,0.03465414047241211,0.02270221710205078,0.043329596519470215,0.0016889572143554688,1.0,0.025342583656311035
uniform,0.5264491378035174,0.0005507469177246094,0.003814697265625,0.5351876020431519,0.01418304443359375,6.008148193359375e-05,1.0,0.050548553466796875,1.0,1.0,0.03215813636779785,0.025342583656311035,1.0
