algorithm,trial_success_rate,top_operator,top_operator_share,commitment,share:rand/1,share:best/1,share:rand/2,share:current-to-best/1,share:current-to-pbest/1
uniform,0.30325714285714284,rand/2,0.2003047619047619,4.0289417080341394e-07,0.20009115646258505,0.1996925170068027,0.2003047619047619,0.20012857142857143,0.1997829931972789
ucb,0.35864421768707483,best/1,0.36228979591836735,0.05007018045460432,0.1575517006802721,0.36228979591836735,0.11999455782312925,0.19908775510204083,0.16107619047619048
thompson,0.41657755102040817,best/1,0.5123380952380953,0.17700364655251988,0.09361632653061225,0.5123380952380953,0.06091292517006803,0.20144421768707482,0.13168843537414965
pm,0.3363544217687075,best/1,0.2822700680272109,0.02145926678680965,0.1637829931972789,0.2822700680272109,0.13162108843537415,0.2323687074829932,0.18995714285714285
ap,0.3596931972789116,best/1,0.33737482993197276,0.048419197274978565,0.14176190476190476,0.33737482993197276,0.1098843537414966,0.23745374149659865,0.1735251700680272
success-rate,0.34070748299319725,best/1,0.27250068027210883,0.028041542791444884,0.1580108843537415,0.27250068027210883,0.1129625850340136,0.25097278911564624,0.2055530612244898
