fid,ap,fixed:best/1,fixed:current-to-best/1,fixed:current-to-pbest/1,fixed:rand/1,fixed:rand/2,jade,oracle:best-fixed,pm,success-rate,thompson,ucb,uniform
1,0.0115864042983133,3.7573873444244863,1.5235027879568437,6.821210263296962e-13,0.0015214048337242,1.6427387558377262,1.193641452346128e-07,6.821210263296962e-13,1.572796264781573e-06,5.614527509578693e-07,0.3477651873109693,0.0051208590952427,8.284445129902451e-09
2,161.43848816017217,23425.558264847547,11659.144570091465,0.0249859131411085,2.3615388491138845,720.3188746552979,0.0033460831918148,0.0249859131411085,5.32640736431452,9.09774650971221,2275.9284193465755,133.105444858891,0.1181068803415712
3,38.812870230774365,124.65336911997014,66.29927285540163,102.13843263321854,120.9992135769158,150.30749562405555,33.45969494887322,66.29927285540163,51.766646968968814,50.7428622889438,69.60626728175902,55.36440619123624,95.6081129831727
4,57.08574300458139,160.18364808362668,107.81449081607758,115.96523045058184,135.2028470811934,197.25389977673728,47.00182767181991,107.81449081607758,60.71471435304068,50.94761750568364,103.69725186815816,69.66192608955686,54.819446011797424
5,0.0108252236294195,85.40749658753776,85.93018963165542,3.0621065967295635e-06,1.3445735909998922,11.447578104705634,8.937307756262669e-05,3.0621065967295635e-06,6.503325639783952e-06,5.6483629826686865e-06,12.156359339885643,0.0183611404949832,1.7747649732058335e-05
6,3.9656142127175897,3534.8040528400516,63.46412193956518,0.3287599533053154,10.71703209000755,49.31829812947641,0.3103677507574218,0.3287599533053154,2.6295577766593325,1.3864814301032666,23.454804662950615,6.466192472854559,0.4754579648251891
7,10.808011800109142,44.602115042341126,20.454140093343295,2.38108376704065,2.622212922186037,21.8025748199686,1.440255570634278,2.38108376704065,8.204533879348531,7.179430244241132,18.863234553080588,16.397091806652114,6.173101642905635
8,68.81373672163599,759.3620803647912,208.64752190094825,16.072474530210286,18.67838448837449,493.7515681978123,15.713560946902277,16.072474530210286,19.222714093024393,17.52488756069326,142.32900727759906,75.67235539350193,34.895271360219596
9,19.463767338903764,323.5650220332076,87.87216734340784,16.58969141021872,18.739106058386128,947.3643722863156,17.50617897784248,16.58969141021872,18.327248230784207,19.03161296873175,86.82674784372249,20.26520983351223,18.389129347656834
10,1982.206215274331,54244.75796994789,18853.22256370987,681.4606509554123,17872.431725075534,100891.28242101205,1570.5985454559573,681.4606509554123,1906.9870397375348,1381.6329011300336,4984.207141973721,2587.4580570217504,1446.6771760938543
11,20.64370680731311,30.80971356749265,21.381231616183623,11.654195402462932,48.067819366466125,112.08215215731674,56.95945163839879,11.654195402462932,25.494959370382205,22.75698888225564,29.461801926587455,22.88746045616529,21.13716809300641
12,2517.7925609742215,7834047.704240919,1622725.9356900745,0.3185179503914241,5031.345206965147,1988649.198450348,2.892920113658306,0.3185179503914241,4.688205864467818,5.241744293711577,361381.44620414893,2336.3677904238325,1.40187246550704
13,51.781547445210805,504.250916045948,369.8895237443593,1.734130009902799,20.150260720340484,262.98559086352645,2.460662887652255,1.734130009902799,7.026549765277352,7.865741485960228,183.9219124351571,46.442710403801186,3.229309043764637
14,0.0280054304542147,3.3846966383904302,1.545736087376845,0.0003470468565396,0.0145165294581346,1.0066767767981375,0.0020310437855783,0.0003470468565396,0.0023281694765202,0.0020282169379299,0.7829375128105838,0.0291504718765622,0.000927615897126
15,118.00927394098152,125.11334441786288,137.75786887924573,115.00500220231174,129.01318549336293,165.55261967923275,100.42817695621648,115.00500220231174,120.89955703597116,127.88877774656794,96.45565128184536,130.97323319508996,121.29221306149952
16,21.15015725735499,3.640460482457982,21.985682871321387,21.593127049983263,22.60417688542113,21.06561056144548,17.334137775785663,3.640460482457982,22.160954649689273,22.404333640802022,21.61492669223719,21.483758969494772,22.35390235485936
17,0.4767416861361688,3.403442639070869,1.083821761093528,0.1209466359618254,0.2976797288926001,2.2513103461331063,0.0919919379679896,0.1209466359618254,0.3024480292197999,0.5663254196838672,1.3379572140258738,0.9350142500946496,0.1924218236740564
18,2.03853187924555,10.927994347887886,3.981126409493541,0.3718133368443084,1.4366847683769652,8.508869705380947,0.7098371112404287,0.3718133368443084,1.0684441774966036,1.804956505764883,2.8474341643664296,2.0371056453190555,0.7472195063642495
19,4.8584405439614216,5.388273791773116,4.6526511245438655,4.771688782500263,5.506658470493008,6.874406675965545,4.939395222368887,4.6526511245438655,4.7088843127237965,4.883986409496131,4.888979331576337,4.730358219709046,4.854254555913812
20,1.6484418907944018,1.8460528895444668,1.720800617969303,2.4507112045067743,2.841312093821216,3.3781381375729325,1.8214357560948429,1.720800617969303,1.559509918863455,1.4709636291772767,1.6523439626963636,1.5208342045177687,1.3827286319353789
21,3.004071843022281,9.514776995010171,11.736772665807749,2.472973858418399,2.4759312748908684,4.200903538754325,2.472976606594507,2.472973858418399,2.7788971381318035,9.481282646099274,12.4647239884711,2.848899365457356,2.1186354769531803
22,1.960131073220623,9.915576738052325,5.2599761082871055,1.954998859523812,1.9554605648955885,2.195867797004894,1.9549989614656624,1.954998859523812,1.955003354969449,1.9550002645714812,2.146913623456044,1.9575329524191147,1.9549988604871944
23,2.698741573552943,2.7731774340128874,2.48368721369154,2.776674100468889,2.895050263048005,2.6407702723252084,2.6088297937174483,2.48368721369154,2.6695384606592834,2.7290429286229427,2.774934826856698,2.6079359818690895,2.6086096966121106
24,131.8750855733437,170.73313164451247,136.46712475720756,130.9111616718664,148.24776878091382,196.55968527859767,135.266942119806,130.9111616718664,130.4484766721302,133.0342948309676,141.75106046170487,135.97058555548614,135.36563928261398
