algorithm,fid,delta,magnitude,better
ap,1,-1.0,large,True
ap,2,-0.84,large,True
ap,3,-0.2736,small,True
ap,4,-0.552,large,True
ap,5,-0.9872,large,True
ap,6,-0.8272,large,True
ap,7,0.0,negligible,False
ap,8,0.056,negligible,False
ap,9,0.0624,negligible,False
ap,10,-0.2448,small,True
ap,11,-0.8624,large,True
ap,12,-0.3152,small,True
ap,13,-0.8176,large,True
ap,14,-0.984,large,True
ap,15,-0.072,negligible,True
ap,16,0.0592,negligible,False
ap,17,-0.7888,large,True
ap,18,-0.6896,large,True
ap,19,0.0816,negligible,False
ap,20,-0.3536,medium,True
ap,21,-0.024,negligible,True
ap,22,-0.3792,medium,True
ap,23,-0.344,medium,True
ap,24,-0.1776,small,True
fixed:best/1,1,-1.0,large,True
fixed:best/1,2,0.52,large,False
fixed:best/1,3,-0.584,large,True
fixed:best/1,4,-0.2704,small,True
fixed:best/1,5,0.6608,large,False
fixed:best/1,6,-1.0,large,True
fixed:best/1,7,0.72,large,False
fixed:best/1,8,0.6128,large,False
fixed:best/1,9,0.6928,large,False
fixed:best/1,10,0.7312,large,False
fixed:best/1,11,0.2,small,False
fixed:best/1,12,-0.0944,negligible,True
fixed:best/1,13,-0.1904,small,True
fixed:best/1,14,-0.9616,large,True
fixed:best/1,15,-0.2768,small,True
fixed:best/1,16,-0.9904,large,True
fixed:best/1,17,0.136,negligible,False
fixed:best/1,18,0.1456,negligible,False
fixed:best/1,19,0.072,negligible,False
fixed:best/1,20,0.0944,negligible,False
fixed:best/1,21,0.4144,medium,False
fixed:best/1,22,-0.0304,negligible,True
fixed:best/1,23,-0.568,large,True
fixed:best/1,24,-0.1616,small,True
fixed:current-to-best/1,1,-1.0,large,True
fixed:current-to-best/1,2,-0.3504,medium,True
fixed:current-to-best/1,3,-0.3152,small,True
fixed:current-to-best/1,4,-0.1456,negligible,True
fixed:current-to-best/1,5,0.9488,large,False
fixed:current-to-best/1,6,-0.4976,large,True
fixed:current-to-best/1,7,0.04,negligible,False
fixed:current-to-best/1,8,0.4144,medium,False
fixed:current-to-best/1,9,0.216,small,False
fixed:current-to-best/1,10,-0.0464,negligible,True
fixed:current-to-best/1,11,-0.7952,large,True
fixed:current-to-best/1,12,-0.2736,small,True
fixed:current-to-best/1,13,-0.8656,large,True
fixed:current-to-best/1,14,-0.9936,large,True
fixed:current-to-best/1,15,-0.328,small,True
fixed:current-to-best/1,16,-0.3504,medium,True
fixed:current-to-best/1,17,-0.536,large,True
fixed:current-to-best/1,18,-0.2928,small,True
fixed:current-to-best/1,19,-0.1936,small,True
fixed:current-to-best/1,20,-0.1808,small,True
fixed:current-to-best/1,21,0.2864,small,False
fixed:current-to-best/1,22,0.2704,small,False
fixed:current-to-best/1,23,-0.408,medium,True
fixed:current-to-best/1,24,-0.4048,medium,True
fixed:current-to-pbest/1,1,0.7472,large,False
fixed:current-to-pbest/1,2,0.9488,large,False
fixed:current-to-pbest/1,3,-0.0336,negligible,True
fixed:current-to-pbest/1,4,-0.056,negligible,True
