algorithm,p_raw,p_holm,significant
fixed:rand/2,8.344650268554688e-07,1.0013580322265625e-05,True
fixed:best/1,8.344650268554688e-06,9.179115295410156e-05,True
fixed:current-to-best/1,7.62939453125e-05,0.000762939453125,True
fixed:rand/1,0.0003223419189453125,0.0029010772705078125,True
ucb,0.0006498098373413086,0.005198478698730469,True
thompson,0.0008462667465209961,0.005923867225646973,True
oracle:best-fixed,0.0015796422958374023,0.009477853775024414,True
ap,0.029131293296813965,0.14565646648406982,False
fixed:current-to-pbest/1,0.03148162364959717,0.14565646648406982,False
jade,0.2522493600845337,0.5625039339065552,False
pm,0.18750131130218506,0.5625039339065552,False
success-rate,0.19737839698791504,0.5625039339065552,False
