algorithm,median_seconds
jade,1.272283188009169
fixed:rand/1,1.7394004164962098
fixed:best/1,2.011415583488997
ap,2.0327799375227187
uniform,2.1614201044721995
fixed:rand/2,2.1692150209855754
fixed:current-to-best/1,2.2274226670269854
success-rate,2.468535187508678
pm,2.6957506250182632
fixed:current-to-pbest/1,2.7429891244973987
ucb,3.569413542019902
thompson,3.787016021029558
