algorithm,mean_rank
oracle:best-fixed,2.625
fixed:current-to-pbest/1,3.7916666666666665
jade,3.9583333333333335
uniform,4.625
pm,5.5
success-rate,5.916666666666667
ap,6.833333333333333
ucb,7.333333333333333
fixed:rand/1,8.541666666666666
thompson,9.333333333333334
fixed:current-to-best/1,9.6875
fixed:rand/2,11.333333333333334
fixed:best/1,11.520833333333334
