baseline,n_better,n_significantly_better,n_policies
fixed:rand/1,5,5,5
fixed:best/1,5,0,5
fixed:rand/2,5,5,5
fixed:current-to-best/1,4,0,5
fixed:current-to-pbest/1,5,3,5
uniform,5,4,5
