row_id,algorithm,fid,instance,dim,run,seed,best_error,evaluations,generations,wall_time
0,fixed:rand/1,1,1,5,0,11107413235999877937,0.00427666279769312,2000,40,0.4220727499923669
1,fixed:rand/1,1,1,5,1,15784741381548937456,0.0014289952578110388,2000,40,0.7153083329903893
2,fixed:rand/1,1,1,5,2,12230688926886363130,0.0021264012362536278,2000,40,0.2967919160146266
3,fixed:rand/1,8,1,5,0,8578387410281430192,2.750769675699729,2000,40,0.2590516249765642
4,fixed:rand/1,8,1,5,1,17866913228707215577,1.7601885421580619,2000,40,0.1839749169885181
5,fixed:rand/1,8,1,5,2,1437090288197643427,3.1092253423877594,2000,40,0.1981899170204997
6,fixed:rand/1,15,1,5,0,3439877029625704251,9.106148345409906,2000,40,0.20649441698333248
7,fixed:rand/1,15,1,5,1,9797665023643723925,14.747673926483571,2000,40,0.293998165987432
8,fixed:rand/1,15,1,5,2,17471434362296176900,3.1364504107672246,2000,40,0.29263395798625425
9,uniform,1,1,5,0,14504216404046178658,4.069024370778607e-06,2000,40,0.8968200410017744
10,uniform,1,1,5,1,3341733843856230428,1.955350626303698e-06,2000,40,0.3215182090061717
11,uniform,1,1,5,2,15034280128371153657,8.908683525987726e-06,2000,40,0.23515908396802843
12,uniform,8,1,5,0,17404720149741854444,0.4320933741900035,2000,40,0.25876295898342505
13,uniform,8,1,5,1,4453635773796413882,1.019378367074836,2000,40,0.22516208299202845
14,uniform,8,1,5,2,17609414406131088283,4.153419608538314,2000,40,0.34958008298417553
15,uniform,15,1,5,0,7604205217544215514,5.14166017141963,2000,40,0.2774612090433948
16,uniform,15,1,5,1,13827270771758457788,6.706354936658727,2000,40,0.8309023750480264
17,uniform,15,1,5,2,1667382242665633243,13.555197964138074,2000,40,0.4771762909949757
18,ucb,1,1,5,0,8278655708301576084,2.2813840416802122e-07,2000,40,0.4543901659781113
19,ucb,1,1,5,1,10864536781361096932,1.7780422467694734e-08,2000,40,0.44943675003014505
20,ucb,1,1,5,2,10748494247562753996,9.460556782414642e-08,2000,40,0.5169965410022996
21,ucb,8,1,5,0,2836538395042923365,0.5444439811953714,2000,40,0.442627958022058
22,ucb,8,1,5,1,13755788584098387351,0.9983757480166275,2000,40,0.36659754201537
23,ucb,8,1,5,2,1065754085593406411,2.329099391932914,2000,40,0.38549254095414653
24,ucb,15,1,5,0,4670603276446324230,12.762489649511735,2000,40,1.1859199589816853
25,ucb,15,1,5,1,16483660425981457030,6.226210503113521,2000,40,0.5567910830141045
26,ucb,15,1,5,2,12999712521945105022,7.7922570007714285,2000,40,0.45301974995527416
27,jade,1,1,5,0,12573593829857600680,0.0009256939731727698,2000,40,0.2143490410526283
28,jade,1,1,5,1,12257662721885615876,0.0007995288617479446,2000,40,0.24158870900282636
29,jade,1,1,5,2,15503845014125467331,0.002656813703993066,2000,40,0.22377095802221447
30,jade,8,1,5,0,13627198419392494046,4.680330122109979,2000,40,0.207488292013295
31,jade,8,1,5,1,6950972887706906631,2.0260077663054403,2000,40,0.1819958749692887
32,jade,8,1,5,2,12322725186683282096,3.3839134394713994,2000,40,0.7483385420055129
33,jade,15,1,5,0,8415551488550710090,9.125642122221507,2000,40,0.3499840840231627
34,jade,15,1,5,1,11409058461338165078,13.665584290003721,2000,40,0.26088575000176206
35,jade,15,1,5,2,14569952713310443865,14.167634060731757,2000,40,0.21854120900388807
