row_id,algorithm,fid,instance,dim,run,seed,best_error,evaluations,generations,wall_time
0,fixed:rand/1,1,1,5,0,11107413235999877937,0.00032076141134496083,2500,50,1.3394152919645421
1,fixed:rand/1,1,1,5,1,15784741381548937456,0.0001274121073038259,2500,50,1.096777624974493
2,fixed:rand/1,1,1,5,2,12230688926886363130,0.0001515444623834128,2500,50,1.0326633749646135
3,fixed:rand/1,1,1,5,3,13748560453182654910,0.0008315845664128574,2500,50,1.162111708021257
4,fixed:rand/1,1,1,5,4,6700984088764897404,0.0003633905526498893,2500,50,1.2477290829992853
5,fixed:rand/1,1,1,5,5,2929783992396459403,0.00042855672232633424,2500,50,1.0346554999705404
6,fixed:rand/1,1,1,5,6,6059651517782082896,0.0003153375522231272,2500,50,1.128326416015625
7,fixed:rand/1,1,1,5,7,3946034372061738723,0.0005711333057405454,2500,50,1.3144122500088997
8,fixed:rand/1,1,1,5,8,5171094026079075832,2.5993268124580027e-05,2500,50,1.0160642089904286
9,fixed:rand/1,1,1,5,9,12919347499925826287,0.0007018711002189093,2500,50,1.0530772090423852
10,fixed:rand/1,1,1,5,10,14627249414254384246,0.00017889398925774458,2500,50,1.3238597080344334
11,fixed:rand/1,1,1,5,11,8447967645227462044,0.00038273199984928397,2500,50,1.0830651249852963
12,fixed:rand/1,1,1,5,12,16725882535940196615,0.00032444784767449164,2500,50,1.056884333025664
13,fixed:rand/1,1,1,5,13,747327244649366625,0.0006751297083127383,2500,50,1.3165532919811085
14,fixed:rand/1,1,1,5,14,5123984612486274398,0.00032605075045921694,2500,50,1.148876833030954
15,fixed:rand/1,1,1,5,15,2291228133991535886,0.0003853395353843325,2500,50,1.092751958000008
16,fixed:rand/1,1,1,5,16,14787424916964580284,0.0009218526115972736,2500,50,1.2313427499611862
17,fixed:rand/1,1,1,5,17,12975938293095828880,0.00019264255057294122,2500,50,1.2521510410006158
18,fixed:rand/1,1,1,5,18,6916599816023300213,0.00021376187072519315,2500,50,1.300093041965738
19,fixed:rand/1,1,1,5,19,10080338856222591573,0.0007395476764173736,2500,50,1.0644766250043176
20,fixed:rand/1,1,1,5,20,11106114289789240862,0.00043890288336001504,2500,50,1.1322269999654964
21,fixed:rand/1,1,1,5,21,15670582735684289897,7.40886894874393e-05,2500,50,1.376190290960949
22,fixed:rand/1,1,1,5,22,4204212059468383060,0.00028007326638146424,2500,50,1.1973956669680774
23,fixed:rand/1,1,1,5,23,7375410199962401731,0.0002802540133046705,2500,50,1.0760635419865139
24,fixed:rand/1,1,1,5,24,12839562368970163508,0.00024755578915858223,2500,50,0.9926024159649387
25,fixed:rand/1,2,1,5,0,13498535458318514794,0.07589527213295355,2500,50,1.1912933750427328
26,fixed:rand/1,2,1,5,1,293075365336301755,0.21513116902278284,2500,50,1.1457398749771528
27,fixed:rand/1,2,1,5,2,4875839239997588190,0.18958655877275987,2500,50,1.0525846249656752
